index,mentions
11682,2C_ITCEinaudi
14015,2C_ITCEinaudi
14016,2C_ITCEinaudi
14017,2C_ITCEinaudi
14018,2C_ITCEinaudi
14019,2C_ITCEinaudi
14020,2C_ITCEinaudi
14021,2C_ITCEinaudi
14022,2C_ITCEinaudi
14023,2C_ITCEinaudi
14024,2C_ITCEinaudi
14025,2C_ITCEinaudi
14026,2C_ITCEinaudi
14744,2C_ITCEinaudi
14745,2C_ITCEinaudi
14746,2C_ITCEinaudi
14747,2C_ITCEinaudi
14748,2C_ITCEinaudi
15623,2C_ITCEinaudi
124,2Cec_Fermi
125,2Cec_Fermi
126,2Cec_Fermi
7473,2Cec_Fermi
17902,2Cec_Fermi
17903,2Cec_Fermi
17904,2Cec_Fermi
17905,2Cec_Fermi
17906,2Cec_Fermi
17907,2Cec_Fermi
18505,2Cec_Fermi
127,2CLiceoSavoiaAN
128,2CLiceoSavoiaAN
129,2CLiceoSavoiaAN
9300,2CLiceoSavoiaAN
9301,2CLiceoSavoiaAN
9302,2CLiceoSavoiaAN
9303,2CLiceoSavoiaAN
9304,2CLiceoSavoiaAN
13840,2CLiceoSavoiaAN
13841,2CLiceoSavoiaAN
13987,2CLiceoSavoiaAN
13988,2CLiceoSavoiaAN
13989,2CLiceoSavoiaAN
14749,2CLiceoSavoiaAN
14750,2CLiceoSavoiaAN
14751,2CLiceoSavoiaAN
14752,2CLiceoSavoiaAN
14753,2CLiceoSavoiaAN
14754,2CLiceoSavoiaAN
17778,2CLiceoSavoiaAN
130,2D_Aristosseno
131,2D_Aristosseno
132,2D_Aristosseno
133,2D_Aristosseno
134,2D_Aristosseno
2443,2D_Aristosseno
4538,2D_Aristosseno
4539,2D_Aristosseno
4540,2D_Aristosseno
7641,2D_Aristosseno
8228,2D_Aristosseno
9001,2D_Aristosseno
9810,2D_Aristosseno
10343,2D_Aristosseno
10344,2D_Aristosseno
11030,2D_Aristosseno
14755,2D_Aristosseno
15663,2D_Aristosseno
15811,2D_Aristosseno
16460,2D_Aristosseno
16461,2D_Aristosseno
17718,2D_Aristosseno
17719,2D_Aristosseno
17720,2D_Aristosseno
17721,2D_Aristosseno
17908,2D_Aristosseno
17909,2D_Aristosseno
17910,2D_Aristosseno
17911,2D_Aristosseno
17912,2D_Aristosseno
17913,2D_Aristosseno
17914,2D_Aristosseno
17915,2D_Aristosseno
17916,2D_Aristosseno
17917,2D_Aristosseno
17918,2D_Aristosseno
