Cluster,Reuse,Length,Group,Blast_text,Node,ID
cluster_120,reuse,18,groupO2,cco la vita pensav,1012103___1_15,1012103
cluster_121,reuse,21,groupO2,essuno aveva più pensato,1012104___31_52,1012104
cluster_122,reuse,52,groupO2,l primo bacio bacio lungo e muto fu scambiato fra no,1012105___1_37,1012105
cluster_122,reuse,52,groupO1,l primo bacio bacio lungo e muto fu scambiato fra no,1012238___25_61,1012238
cluster_123,reuse,52,groupO1,o sono morto sì già due volte ma la prima per errore e la se,1012690___16_60,1012690
cluster_123,reuse,52,groupB,o sono morto sì già due volte ma la prima per errore e la se,1012722___13_57,1012722
cluster_123,reuse,52,groupB,o sono morto sì già due volte ma la prima per errore e la se,1012728___13_57,1012728
cluster_123,reuse,52,groupO1,o sono morto sì già due volte ma la prima per errore e la seconda se,1012748___1_51,1012748
cluster_126,reuse,67,groupO2, la tirannia più odiosa e balorda la tirannia mascherata da liber,1012108___11_62,1012108
cluster_129,reuse,23,groupO2,tro una pallottola d avo,1012110___17_38,1012110
cluster_134,reuse,68,groupO2, era abbandonata alla guida del marito rimasta senza si era sentita sperduta nel mond,1012116___1_70,1012116
cluster_134,reuse,68,groupO2, era abbandonata alla guida del marito senza di lui si era sentita sperduta nel mond,1012117___1_68,1012117
cluster_134,reuse,68,groupO1,bbandono alla guida del marito da parte del,1012187___2_36,1012187
cluster_134,reuse,68,groupB,a abbandonata alla guida del marito rimastane senza si sentì sper,1012895___12_64,1012895
cluster_135,reuse,25,groupO1,n fin dei conti multipl,1012119___1_20,1012119
cluster_139,reuse,18,groupA,ana non mi lasciar,1012124___53_68,1012124
cluster_140,reuse,18,groupO1,l signor Anselmo s era messo a parlare con Max proprio come si parl,1012741___8_59,1012741
cluster_140,reuse,18,groupO1,l signor Anselmo s era messo a parlare con Max proprio come si parl,1012742___8_59,1012742
cluster_140,reuse,18,groupO1,tò male la signorina Silvia,1012919___18_40,1012919
cluster_140,reuse,18,groupO1,mente la signorina Si,1012926___41_59,1012926
cluster_141,reuse,64,groupA,nzio Intimò a questo punto il signor Anselmo E chi aveva,1012126___4_47,1012126
cluster_142,reuse,22,groupA,lpi Le sedute spiritich,1012127___13_33,1012127
cluster_142,reuse,22,groupA,lpi Le sedute spiritich,1012128___13_33,1012128
cluster_145,reuse,51,groupA,a un bel bacione sonoro le fu scoccato su la guanci,1012129___1_35,1012129
cluster_146,reuse,29,groupO1,a libri in specie di filosofi,1012134___1_24,1012134
cluster_146,reuse,29,groupO1,a libri in ispecie di filosofi,1012774___35_59,1012774
cluster_149,reuse,22,groupO1,vato a questo punto vo,1012135___11_29,1012135
cluster_153,reuse,28,groupO1,nche Pomino No ecco Pomino n,1012136___41_62,1012136
cluster_155,reuse,43,groupO1, Mattia Pascal E me ne ap,1012137___9_28,1012137
cluster_155,reuse,43,groupO2, Mattia Pascal e quello dopo solo l unione di du,1012396___27_64,1012396
cluster_156,reuse,42,groupO1,enti io ti amo e non posso non debbo amart,1012139___1_33,1012139
cluster_160,reuse,105,groupO1,cappai come un daino ma più per sfuggire a me stesso per non rimanere neanche un minuto a tu per tu con m,1012143___1_78,1012143
cluster_163,reuse,118,groupO1,a la verità forse era questa che nella mia libertà sconfinata mi riusciva difficile cominciare a vivere in qualche mod,1012144___1_89,1012144
cluster_167,reuse,23,groupO1,attia che sarei io e fu,1012146___1_19,1012146
cluster_168,reuse,93,groupO1,i vidi per un momento lì nell acqua verdastra della gora fradicio gonfio orribile galleggiant,1012147___19_89,1012147
cluster_169,reuse,63,groupO1,l soccorso invece mi venne da chi meno avrei potuto aspettarmel,1012148___1_51,1012148
cluster_171,reuse,64,groupO1, tale da poter servire d ammaestramento a qualche curioso lettor,1012149___1_53,1012149
cluster_172,reuse,87,groupO1,on avevo mai sentito alcun bisogno di domandare a me stesso se avessi veramente una fed,1012150___1_71,1012150
