Cluster,Reuse,Length,Group,Blast_text,Node,ID
cluster_0,reuse,14,groupB,o alla famigli,1000002___37_49,1000002
cluster_6,reuse,32,groupB,i fame Lucrezia spasimava d amor,1000009___8_35,1000009
cluster_7,reuse,86,groupB,a signore contessa indossò un abito lilla con una ricca fioritura di merletti alla gol,1000011___1_66,1000011
cluster_8,reuse,88,groupB,er quanti sforzi facciamo nel crudele intento di distruggere le illusioni non,1000012___1_62,1000012
cluster_8,reuse,88,groupO2,er quanti sforzi facciamo per distruggere le illusione che la natura ci aveva creat,1000309___1_64,1000309
cluster_8,reuse,88,groupB,er quanti sforzi facciamo nel crudele intento di distruggere le illusioni no,1000774___1_61,1000774
cluster_9,reuse,35,groupB,a terra stanca di girare ma av,1000013___1_24,1000013
cluster_11,reuse,80,groupB,nche oggi crediamo che la luna non stia per altro nel cielo che per farci la lume di nott,1000014___1_65,1000014
cluster_11,reuse,80,groupB,nche noi crediamo che la luna stia nel cielo per farci lume di nott,1000017___1_51,1000017
cluster_12,reuse,52,groupB,sì a poco a poco ho fatto il giusto a siffatte lettur,1000015___1_40,1000015
cluster_14,reuse,25,groupB,veva per noi una tenerezz,1000019___6_28,1000019
cluster_14,reuse,25,groupB,veva per noi una tenerezz,1000023___1_23,1000023
cluster_14,reuse,25,groupB,veva per noi una tenerezza a,1000344___1_25,1000344
cluster_15,reuse,45,groupB,n tempo stesso io mi son una e due e fo due ciò ch e,1000020___1_37,1000020
cluster_15,reuse,45,groupB,n tempo stesso mi son una e due e fo due ciò ch e,1000024___1_35,1000024
cluster_15,reuse,45,groupB,n tempo stesso io son uno e due e fo 2 ciò ch,1000031___40_70,1000031
cluster_17,reuse,30,groupB,ue bellichi a contrapposti sit,1000021___1_25,1000021
cluster_19,reuse,45,groupB,n cuor di donna quanto dura l amore Ed ella non mi amò qu,1000022___1_42,1000022
cluster_19,reuse,45,groupB,n cuor di donna quanto dura amore Ella non mi a,1000030___1_37,1000030
cluster_19,reuse,45,groupB,n cuor di donna quanto dura amore Ella non mi a,1000839___1_37,1000839
cluster_23,reuse,26,groupB,on bocca dalla cinta in su,1000025___1_19,1000025
cluster_25,reuse,24,groupO2,dere in uno sgomento attonit,1000026___22_46,1000026
cluster_26,reuse,24,groupB,ista del mare mi faceva cadere in uno sgamento attonito che diveniva ma,1000041___1_57,1000041
cluster_27,reuse,25,groupO2,ando la terra non girav,1000027___1_20,1000027
cluster_29,reuse,30,groupO2, di essere atomi infinitesimal,1000028___7_34,1000028
cluster_29,reuse,30,groupO2, di essere atomi infinitesimal,1000082___8_35,1000082
cluster_29,reuse,30,groupO2, di essere atomi infinitesimal,1000272___22_49,1000272
cluster_30,reuse,43,groupB,a sua morte quasi improvvisa fu la nostra rovin,1000029___1_40,1000029
cluster_30,reuse,43,groupO1,a sua morte fu la nostra rovin,1000617___1_26,1000617
cluster_30,reuse,43,groupB,a sua morte quasi improvvisa fu la nostra rovin,1000782___1_40,1000782
cluster_33,reuse,32,groupB,arebbe accaduto nulla di grave s,1000032___1_24,1000032
cluster_36,reuse,50,groupB,i sera uscii ancor diretto alla casa d oliv,1000034___1_34,1000034
cluster_38,reuse,59,groupB,minciai a domandarmi come mai Romilda si fosse potuta prest,1000035___14_63,1000035
cluster_40,reuse,88,groupB,alagna arrivò fino a questo non bevve più vino per dare esempio di continenza alla mogli,1000036___1_68,1000036
cluster_41,reuse,92,groupB,a quella labbra neppure un bacio dai denti si qualche morso per castigo quand io la afferrav,1000037___1_68,1000037
cluster_43,reuse,85,groupB, allora che si asciugò gli occhi spiegò il foglio e si mise a interpretar la scrittur,1000039___1_60,1000039
cluster_44,reuse,16,groupB,i fermai innanzi,1000040___12_27,1000040
cluster_48,reuse,48,groupB,nche per la prima volta un brivido nuovo un senso,1000042___12_51,1000042
cluster_49,reuse,48,groupO1, per la prima volt,1000416___7_22,1000416
cluster_53,reuse,16,groupB,ro inetto a tutt,1000043___1_15,1000043
cluster_54,reuse,51,groupB,nquecento lire rimasero tra le pagine di un libraccio e furon,1000044___1_47,1000044
cluster_54,reuse,51,groupO2,nquecento lire servirono a me e furono la cagione della mia PRIMA mort,1000311___6_61,1000311
cluster_56,reuse,51,groupB, furono la cagione della mia prima mort,1000955___9_40,1000955
cluster_57,reuse,45,groupB,l naso adunco fiero nella faccia bruna itteri,1000045___12_47,1000045
cluster_58,reuse,43,groupB,aneamente alla mamma mia nello stesso giorn,1000046___13_50,1000046
cluster_58,reuse,43,groupB,aneamente alla mamma mia nello stesso giorn,1000047___13_50,1000047
cluster_62,reuse,44,groupB,on mancava mai di schizzare questo velen,1000048___1_33,1000048
cluster_63,reuse,18,groupB,e vie erano desert,1000049___18_34,1000049
cluster_66,reuse,26,groupB,à stanco di stare alla bad,1000050___1_20,1000050
cluster_70,reuse,75,groupB,rcavo intanto un albergo qualunque per chiudermi a vedere quanto avevo vint,1000051___1_59,1000051
cluster_72,reuse,87,groupB,ilessi con piglio feroce e col cuore in tumulto non so quante volte quelle poche righ,1000052___1_63,1000052
cluster_74,reuse,46,groupB, e guardai spiritato i miei compagni di viaggio,1000053___16_51,1000053
cluster_76,reuse,32,groupB,ensava e il treno intanto correv,1000054___1_28,1000054
cluster_78,reuse,91,groupB,unque che stavo a far lì seduto M ero buttato di nuovo da me in mezzo a una strada Ci stess,1000055___1_68,1000055
cluster_79,reuse,17,groupB, aria di campagna,1000056___1_14,1000056
cluster_81,reuse,79,groupB,pri gli occhi e rimasi un pezzo accigliato a contemplarlo nella palma della man,1000057___1_61,1000057
cluster_82,reuse,62,groupB,edrai com essa t apparirà curiosa ora a guardarlo così di fuor,1000058___1_47,1000058
cluster_83,reuse,101,groupB,e non che a un certo punto mi cadde lo sguardo su l anellino di fede che mi stringeva ancora l anular,1000059___1_75,1000059
cluster_87,reuse,69,groupB,olo ormai e più solo di com ero io non avrei potuto essere su la terr,1000060___1_54,1000060
cluster_87,reuse,69,groupB,o solo ormai e più solo di com ero non avrei potuto essere su la terr,1000865___2_55,1000865
cluster_89,reuse,81,groupB,el presente d ogni legame e d ogni obbligo libero e assolutamente padrone di m,1000061___1_59,1000061
cluster_92,reuse,82,groupB,vrò cura di questa mia libertà me la condurrò a spasso per vie piane e sempre nuov,1000062___1_61,1000062
cluster_93,reuse,82,groupO2,i questa mia liber,1000253___61_75,1000253
cluster_93,reuse,82,groupO2,i questa mia liber,1000290___43_57,1000290
cluster_93,reuse,82,groupB,i questa mia liber,1000823___51_65,1000823
cluster_94,reuse,56,groupB,revedevo di non poter più avere una casa mia oggetti mie,1000063___1_44,1000063
cluster_97,reuse,102,groupB,a la verità forse era questa che nella mia libertà sconfinata mi riusciva difficile cominciare a viver,1000064___1_78,1000064
cluster_99,reuse,102,groupO2,ella mia libertà sconfinata mi riusciva difficile viv,1000129___1_43,1000129
cluster_99,reuse,102,groupO2,ella mia libertà sconfinata mi riusciva difficile vi,1000131___1_42,1000131
cluster_99,reuse,102,groupO2,ella mia libertà ma,1000286___8_23,1000286
cluster_100,reuse,20,groupB,elazioni superficial,1000065___43_62,1000065
cluster_101,reuse,89,groupB,o di precarietà mi teneva ancora e non mi faceva amare il letto su cui mi ponevo a dormir,1000066___4_71,1000066
cluster_102,reuse,105,groupB,idere per distrarmi mi immaginavo con un buon panettone sotto il braccio innanzi alla porta di casa mi,1000067___1_80,1000067
cluster_104,reuse,75,groupB,on debba più far nuvolo perchè tu possa giocare serenamente la tua liber,1000069___1_54,1000069
cluster_105,reuse,84,groupB,o vi sono stato Ora quanta vita mi sfugge che seguita ad agitarsi qua e là variament,1000070___1_62,1000070
cluster_106,reuse,18,groupB, intanto la natura,1000071___1_17,1000071
cluster_108,reuse,35,groupB,on potrei fare a meno di sorridere ma benevo,1000072___1_37,1000072
cluster_110,reuse,25,groupB,iusa nel sogno del suo ma,1000073___43_63,1000073
cluster_111,reuse,50,groupB,iuse gli occhi come per non vedere il mio sorris,1000074___1_37,1000074
cluster_111,reuse,50,groupB,cchiuse gli occhi come per non vedere il mio sorris,1000076___2_39,1000076
cluster_112,reuse,54,groupB,occar con mano che la povera fanciulla doveva proprio portarla quella veste d,1000075___11_71,1000075
cluster_119,reuse,91,groupB,nfusa un signorinetta piccola bionda pallida dagli occhi cerulei dolci e mesti Adriana,1000077___1_67,1000077
cluster_120,reuse,101,groupB,ttava sul letto e tutto il vino bevuto le riveniva fuori trasformato in un torrente di lacrim,1000078___1_77,1000078
cluster_121,reuse,43,groupB,i parve dapprima una ragazzetta poi osservando bene l esp,1000079___1_48,1000079
cluster_122,reuse,74,groupB,erchè mi piacque sopra ogni altra città e mi parve adatta da ospita,1000080___24_73,1000080
cluster_124,reuse,62,groupA, non averne commessa nessuna significa per lo meno non aver vissuto,1000086___24_78,1000086
cluster_124,reuse,62,groupO2, non averne commessa nessuna significa non aver vissut,1000101___24_68,1000101
cluster_125,reuse,29,groupO2,me mi sentivo leggero Libero,1000088___3_25,1000088
cluster_125,reuse,29,groupB,me mi sentivo leggero dice Mattia È pro,1000749___13_42,1000749
cluster_126,reuse,54,groupO2, con un mondo fenomenico costruito dalla nostra mente,1000089___34_77,1000089
cluster_128,reuse,82,groupO2,entirmi come in uno stato d ebrezza estrosa agivo quasi automaticamente La d,1000092___9_69,1000092
cluster_129,reuse,29,groupO2,ro impetuoso e prendevo tutto alla legger,1000093___1_35,1000093
cluster_131,reuse,47,groupO2, senso penoso di precarietà che tien sospeso l,1000094___2_38,1000094
cluster_133,reuse,23,groupO2,are l ultima traccia di,1000095___5_23,1000095
cluster_133,reuse,23,groupO2,are l ultima traccia di,1000097___5_23,1000097
cluster_134,reuse,23,groupO2, non mi dispiacevano le,1000099___14_33,1000099
cluster_135,reuse,39,groupO2,pire Avrei dovuto formalmente registrare la cosa,1000100___14_55,1000100
cluster_139,reuse,17,groupO2,e fa della propri,1000103___17_32,1000103
cluster_142,reuse,39,groupO2,attia Pascal e la sua maturazione a f,1000107___1_31,1000107
cluster_147,reuse,45,groupO2,o molto particolare il Paleari in quella situ,1000122___5_42,1000122
cluster_154,reuse,31,groupO2, strana impressione mi p,1000132___10_31,1000132
cluster_154,reuse,31,groupO2, strana impressione mi p,1000133___10_31,1000133
cluster_156,reuse,31,groupO2, impressione è che l,1000448___1_16,1000448
cluster_158,reuse,31,groupO2,i pareva quasi di non essere più i,1000305___1_27,1000305
cluster_158,reuse,31,groupB,i pareva quasi di non esser più io di non tocca,1000518___1_35,1000518
cluster_160,reuse,24,groupO2, forestiere della vit,1000134___19_38,1000134
cluster_160,reuse,24,groupB,orestiere della vita Adria,1000220___1_25,1000220
cluster_165,reuse,13,groupA,ornare in vit,1000141___16_28,1000141
cluster_166,reuse,24,groupA,driano Meis ora di nuovo Mattia Pasca,1000145___20_51,1000145
cluster_166,reuse,24,groupO1,driano Meis o Mattia,1000377___1_19,1000377
cluster_167,reuse,24,groupB,i chiamo Mattia Pascal nomakeu,1000354___3_28,1000354
cluster_167,reuse,24,groupO1,i chiamo Mattia Pasca,1000726___23_40,1000726
cluster_167,reuse,24,groupO1,i chiamavo Mattia Pascal,1000859___15_35,1000859
cluster_167,reuse,24,groupB,i chiamo Mattia Pasca,1000954___3_20,1000954
cluster_168,reuse,24,groupB,attia Pascal e il suo novi,1000217___14_35,1000217
cluster_168,reuse,24,groupO1,attia Pascal e i,1000590___11_24,1000590
cluster_170,reuse,60,groupO2, l avvilimento mi trattenevano dallo stuzzicar l attenzione di coloro,1000146___1_59,1000146
cluster_171,reuse,16,groupA,esto vuol dire r,1000147___43_57,1000147
cluster_172,reuse,17,groupO2,n quel momento f,1000151___1_14,1000151
cluster_172,reuse,17,groupO2,n quel momento f,1000152___1_14,1000152
cluster_172,reuse,17,groupB,n quel momento,1000785___1_13,1000785
cluster_174,reuse,39,groupO2,e mi sentivo già nella selva dantes,1000158___5_33,1000158
cluster_174,reuse,39,groupO2,e mi sentivo già nella selva dantes,1000159___5_33,1000159
cluster_178,reuse,15,groupO2, nostri pensier,1000168___29_43,1000168
cluster_180,reuse,23,groupO2,vrei potuto non las,1000174___1_18,1000174
cluster_180,reuse,23,groupO2, avrei potuto non lasciare,1000190___12_34,1000190
cluster_181,reuse,20,groupO2,osofia del lanternin,1000176___25_44,1000176
cluster_183,reuse,21,groupO2,ro anche dei document,1000180___16_33,1000180
cluster_186,reuse,23,groupO2,i mettere un po d ordin,1000187___13_32,1000187
cluster_190,reuse,48,groupO2,no scompiglio appena mi fossi mostrato per le vi,1000196___1_40,1000196
cluster_191,reuse,25,groupO2,o sono IL FU Mattia Pasca,1000198___20_40,1000198
cluster_194,reuse,78,groupB,ella mia esistenza mi suggeriva allora pensieri strani quasi lampi di folli,1000200___1_63,1000200
cluster_195,reuse,78,groupO2,lla mia esistenz,1000758___18_33,1000758
cluster_197,reuse,103,groupO2,el disinganno profondo provai un avvilimento un dispetto un amarezza che non saprei ridire e il dispett,1000202___1_87,1000202
cluster_198,reuse,26,groupB, che passava una sola volt,1000204___10_31,1000204
cluster_199,reuse,22,groupB,ia moglie e mia suocer,1000206___1_18,1000206
cluster_201,reuse,89,groupB,uoce devasta il fegato e demolisce i neuroni Ma questo è vero solo se ti becca,1000208___7_63,1000208
cluster_203,reuse,15,groupB, della roulette,1000211___22_36,1000211
cluster_203,reuse,15,groupB, nella roulette pa,1000815___50_66,1000815
cluster_204,reuse,39,groupB,vevo dunque l aria così goffa e da allo,1000213___1_29,1000213
cluster_208,reuse,37,groupB,on avevo mai veduto così uomini e cos,1000218___1_29,1000218
cluster_210,reuse,37,groupO2,ttAdriano Mei,1000667___3_16,1000667
cluster_211,reuse,36,groupB,arianna Dondi i,1000223___1_15,1000223
cluster_212,reuse,38,groupB,n me siamo in un sistema più gran,1000224___48_73,1000224
cluster_212,reuse,38,groupB, cos è questa se non un sistema di rappo,1000947___2_31,1000947
cluster_215,reuse,49,groupB,on crediamo anche noi che la natura ci parli Matt,1000234___1_38,1000234
cluster_216,reuse,56,groupB,o soffro appunto per questa tirannia mascherata da liber,1000236___1_47,1000236
cluster_217,reuse,56,groupO2, tirannia mascherata da liber,1000285___34_58,1000285
cluster_217,reuse,56,groupB,a tirannia mascherata da liber,1000828___20_45,1000828
cluster_218,reuse,43,groupB,atto il gusto a ridere di tutte le mie sciagur,1000237___11_46,1000237
cluster_218,reuse,43,groupB,atto il gusto a ridere di tutte le mie sciagur,1000807___22_57,1000807
cluster_220,reuse,43,groupB, ridere di tutte le sciagure e d ogni torment,1000932___25_59,1000932
cluster_220,reuse,43,groupB, ridere di tutte le sciagure e d ogni torment,1000933___25_59,1000933
cluster_222,reuse,35,groupB,uocera nessuno Libero Libero Libero,1000238___8_36,1000238
cluster_223,reuse,35,groupO2,essuno mi riconosceva perchè nessun,1000240___1_29,1000240
cluster_225,reuse,50,groupO2,attene subito lontano senza farti vedere da nessun,1000252___1_44,1000252
cluster_229,reuse,49,groupO2,ove a te piaccia cadere graziosa pallottola d av,1000254___1_38,1000254
cluster_229,reuse,49,groupO2,ove a te piaccia di cadere graziosa pallottola p,1000255___1_38,1000255
cluster_230,reuse,76,groupO2, noi uomini nascendo è toccato il tristo privilegio di sentirci viver,1000256___1_54,1000256
cluster_231,reuse,64,groupO2,driano Meis aveva avuto la sua giovinezza spensierata ora bisogna,1000258___1_55,1000258
cluster_231,reuse,64,groupO2,driano Meis aveva avuto la sua giovinezza spensierata ora bisogna,1000259___1_55,1000259
cluster_232,reuse,87,groupO2,nche i ladri m immagino debbono avere una certa impostatura ch egli mi pareva non avess,1000260___1_67,1000260
cluster_235,reuse,34,groupO2,rtista per niente studioso così co,1000261___1_28,1000261
cluster_236,reuse,24,groupO2,vessi almeno potuto dirl,1000262___1_23,1000262
cluster_237,reuse,79,groupO2,rnbaum Giovanni Abramo fece stampare a Lipsia nel 1738 un op,1000263___1_44,1000263
cluster_238,reuse,33,groupO2,i sono io ora Bisogna che ci pens,1000264___1_24,1000264
cluster_239,reuse,92,groupO2, io senza aver commesso cattive azioni mi dovevo guardare così davanti e dietr,1000265___1_62,1000265
cluster_241,reuse,83,groupO2, vuol fortuna ne ho avuta oggi potrò non averla domani o potrò anche averla di nuov,1000266___1_64,1000266
cluster_242,reuse,26,groupO2,n far male potesse bastare,1000267___10_32,1000267
cluster_244,reuse,95,groupO2,me una cieca s era abbandonata alla guida del marito rimastene senza si sentì sperduta nel mond,1000269___1_75,1000269
cluster_245,reuse,33,groupO2, quanto tempo avevo dunque giocat,1000271___12_37,1000271
cluster_248,reuse,20,groupO2,ochino pochino di cu,1000273___18_33,1000273
cluster_251,reuse,41,groupO2,opo la mia terza ultima e definitiva mort,1000274___1_36,1000274
cluster_254,reuse,25,groupO2,ovevo vivere vivere viver,1000279___1_24,1000279
cluster_257,reuse,47,groupO2, così quattro giorni dopo diventai bibliotecari,1000283___1_36,1000283
cluster_258,reuse,41,groupO2, mi sentivo allora per un attimo nel vuot,1000284___1_35,1000284
cluster_262,reuse,35,groupO2,ro capitato là a Montecarlo per cas,1000287___1_27,1000287
cluster_263,reuse,82,groupO2,ro come un generale che avesse vinto un asprissima e disperata battaglia ma per ca,1000288___1_64,1000288
cluster_264,reuse,18,groupO2,i misi a leggere a,1000289___11_24,1000289
cluster_266,reuse,61,groupO2,acchè come un uccello senza nido non potevo più oltre rimaner,1000291___1_46,1000291
cluster_267,reuse,28,groupO2,me fuori dalla vita,1000292___11_28,1000292
cluster_267,reuse,28,groupB,me fuori della vita e non,1000333___11_32,1000333
cluster_267,reuse,28,groupA, ma fuori dalla vit,1000612___21_37,1000612
cluster_267,reuse,28,groupA, ma fuori dalla vit,1000613___21_37,1000613
cluster_269,reuse,36,groupO2,mo il loro taglio il loro colore pos,1000293___16_44,1000293
cluster_271,reuse,24,groupO2,l foglietto Non lo conos,1000294___1_20,1000294
cluster_272,reuse,23,groupO2,l giorno appresso ap,1000295___1_18,1000295
cluster_273,reuse,62,groupO2,l lume d una idea comune è alimentato dal sentimento collettiv,1000296___1_51,1000296
cluster_275,reuse,37,groupO2,a vivo per la morte e morto per la vit,1000297___10_40,1000297
cluster_275,reuse,37,groupA,a vivo per la morte morto per la vit,1000537___30_59,1000537
cluster_275,reuse,37,groupB, Vivo per la morte e morto per la vit,1000944___19_48,1000944
cluster_277,reuse,30,groupO2,stintivamente cominciai a sentir,1000298___1_29,1000298
cluster_279,reuse,22,groupO2,à avrebbe potuto chiama,1000300___7_24,1000300
cluster_280,reuse,22,groupA, avrebbe potuto amarm,1000582___44_61,1000582
cluster_282,reuse,42,groupO2, notte non dimostrava veramente d aver cuor,1000301___2_38,1000301
cluster_283,reuse,15,groupO2, festa di Natal,1000302___10_23,1000302
cluster_285,reuse,27,groupO2,ATTIA PASCAL È VI,1000303___1_14,1000303
cluster_285,reuse,27,groupB,ì MATTIA PASCAL Voi cosa fareste al p,1000358___29_57,1000358
cluster_286,reuse,55,groupO2,i le braccia e trassi un lunghissimo respiro di solliev,1000304___12_55,1000304
cluster_289,reuse,23,groupO2,to fantasticando di que,1000306___16_35,1000306
cluster_291,reuse,41,groupO2,on si sente lei come se le avessero so,1000307___1_31,1000307
cluster_292,reuse,49,groupO2,uto che non rimanesse in me alcuna traccia di lu,1000308___14_50,1000308
cluster_294,reuse,52,groupO2,otevo e dovevo essere l artefice del mio nuovo destin,1000310___1_45,1000310
cluster_299,reuse,85,groupO2,arei andato incontro ad altre catene ma non più gravi di quelle che mi stavo strapp,1000312___1_64,1000312
cluster_300,reuse,61,groupO2,e le fate dar via al pavone le penne della coda che gli rest,1000313___1_46,1000313
cluster_301,reuse,82,groupO2,e noi riconosciamo che errare è dell uomo non è crudeltà sovrumana la giustizi,1000314___1_59,1000314
cluster_302,reuse,46,groupO2,i sa che certe specie di pazzia sono contagios,1000315___1_35,1000315
cluster_303,reuse,45,groupO2,nde perchè alla fine si ritrova senza energia,1000317___19_55,1000317
cluster_305,reuse,105,groupO2,ogliono insomma estrarre il sangue dalle pietre e sono sicurissimo che vi riuscirann,1000321___1_69,1000321
cluster_306,reuse,96,groupA,iuderó gli occhi e passerò oltre appena lo spettacolo della vita in qualche punto mi si presente,1000322___1_74,1000322
cluster_308,reuse,66,groupA,eso spettatore estraneo della briga in cui gli altri si dibattevan,1000323___17_69,1000323
cluster_311,reuse,91,groupB,i vidi in quell istante attore d una tragedia che più buffa non si sarebbe potuta immaginar,1000329___1_69,1000329
cluster_312,reuse,75,groupB,vrei voluto che il treno s arrestasse avrei voluto che corresse a precipizi,1000334___1_61,1000334
cluster_314,reuse,58,groupB,e anime hanno un particolar modo d intendersi fino a darsi d,1000335___1_50,1000335
cluster_314,reuse,58,groupO1,e anime hanno un loro particolare modo per intenders,1000659___1_45,1000659
cluster_314,reuse,58,groupB,e anime hanno un loro particolar modo d intenders,1000953___1_42,1000953
cluster_316,reuse,46,groupB,itornare a casa e ritrovare gli affetti in ce,1000337___34_69,1000337
cluster_317,reuse,19,groupB, istinto della fuga,1000339___1_17,1000339
cluster_318,reuse,30,groupB,ato di poter diventare Adriano,1000340___27_54,1000340
cluster_321,reuse,66,groupB,d ecco Batta Malagna quando sudato e sbuffante portava il cappello,1000342___1_51,1000342
cluster_322,reuse,40,groupB,one all enigma dello Stigliani è l,1000343___15_41,1000343
cluster_324,reuse,81,groupB,entre le nostre persone sono tuttavia impacciate nel commercio delle parole comun,1000346___1_67,1000346
cluster_325,reuse,30,groupB,enti il vuoto La talpa la talp,1000347___1_26,1000347
cluster_325,reuse,30,groupB,enti il vuoto La Talpa La Talp,1000362___1_26,1000362
cluster_327,reuse,50,groupB,corgeva il Signor Pascal ma colui che avrebbe volut,1000351___21_57,1000351
cluster_328,reuse,33,groupB,nvece io rifiutai senza ringraziar,1000352___2_31,1000352
cluster_329,reuse,33,groupO1,l nostro Mattia Pasca,1000417___5_23,1000417
cluster_330,reuse,33,groupO1,nto Mattia Pasca,1000719___14_28,1000719
cluster_331,reuse,33,groupO1,l Mattia Pascal,1000574___6_19,1000574
cluster_331,reuse,33,groupO1,l Mattia Pascal,1000575___6_19,1000575
cluster_331,reuse,33,groupO1,o Mattia Pascal,1000592___3_16,1000592
cluster_336,reuse,25,groupB,iù unico di così Eppure n,1000359___13_30,1000359
cluster_338,reuse,21,groupO1,ncerto sulla sua sort,1000369___8_26,1000369
cluster_340,reuse,18,groupO1,e sedute spiridich,1000371___9_25,1000371
cluster_340,reuse,18,groupO1, le sedute spiritich,1000486___13_30,1000486
cluster_341,reuse,23,groupO1,driano e lo spirito di,1000372___1_20,1000372
cluster_347,reuse,12,groupO1,a fortuna pe,1000392___3_14,1000392
cluster_348,reuse,14,groupO1,l bibliotecari,1000401___11_22,1000401
cluster_353,reuse,14,groupO1,ndato in Ameri,1000418___14_27,1000418
cluster_354,reuse,23,groupO1, illusione di un altra vit,1000424___11_33,1000424
cluster_354,reuse,23,groupO1,llusione di un altra vit,1000586___1_22,1000586
cluster_354,reuse,23,groupO1, illusione di una nuova v,1000716___1_22,1000716
cluster_355,reuse,30,groupO1,ttia che può vivere un altra volt,1000427___11_37,1000427
cluster_357,reuse,63,groupO2,unque ben venga la distrazione che mi ha portato a parlare del,1000432___2_50,1000432
cluster_359,reuse,20,groupO2,o non saprei proprio,1000442___30_48,1000442
cluster_360,reuse,39,groupB,ortai questi due morti a spasso per Pis,1000449___1_33,1000449
cluster_363,reuse,25,groupB,crivono la Divina Commedi,1000452___49_70,1000452
cluster_364,reuse,15,groupB,a seduta spiriti,1000455___62_77,1000455
cluster_364,reuse,15,groupO1,a seduta spiriti,1000608___1_16,1000608
cluster_365,reuse,14,groupB,l Paleari intra,1000457___27_41,1000457
cluster_367,reuse,23,groupO1,otevo più essere davver,1000458___14_34,1000458
cluster_367,reuse,23,groupO1,otevo più essere davver,1000475___8_28,1000475
cluster_367,reuse,23,groupO1,otevo più essere davver,1000476___8_28,1000476
cluster_369,reuse,18,groupO1,biamo addirittura n,1000459___2_19,1000459
cluster_371,reuse,19,groupO1,er tutta la vita am,1000460___56_72,1000460
cluster_372,reuse,11,groupO1,inalmente l,1000461___1_12,1000461
cluster_376,reuse,43,groupO1,o Una vita non realmente vissuta un nome m,1000467___25_60,1000467
cluster_378,reuse,29,groupO1,na condanna costretto a mentir,1000469___39_64,1000469
cluster_379,reuse,22,groupO1,egui il consiglio del,1000470___7_23,1000470
cluster_380,reuse,28,groupO1,arebbe stato meglio vivere una vi,1000471___12_38,1000471
cluster_386,reuse,20,groupO1,inalmente Adriana e Ad,1000488___1_21,1000488
cluster_386,reuse,20,groupO1,inalmente Adriana e Ad,1000489___1_21,1000489
cluster_386,reuse,20,groupO1,ell anno Adriano e Adria,1000570___11_32,1000570
cluster_388,reuse,22,groupO1,iente con nessunoSmett,1000498___38_58,1000498
cluster_389,reuse,23,groupB, l à dime che to pare h,1000500___1_16,1000500
cluster_390,reuse,49,groupB,o e Adriana saremmo stati il bersaglio di M,1000504___1_35,1000504
cluster_391,reuse,25,groupB, Giacomo Leopardi maiunagi,1000505___49_70,1000505
cluster_393,reuse,22,groupB,gerà sicuramente di essere nat,1000511___49_73,1000511
cluster_394,reuse,23,groupO1,itorno vivo mi vendiche,1000515___1_21,1000515
cluster_397,reuse,21,groupO1,ti questo Sentimento,1000520___37_55,1000520
cluster_398,reuse,21,groupO2,e questo dolce sentimento per,1000713___11_35,1000713
cluster_399,reuse,30,groupO1,amo la vita precedentemente vis,1000524___14_41,1000524
cluster_404,reuse,34,groupA,on c era altra via di scampo per m,1000538___1_26,1000538
cluster_406,reuse,30,groupO1,l forestiero tra tanti forestier,1000542___1_30,1000542
cluster_407,reuse,33,groupA,a perchè far soffrire così Adrian,1000543___1_26,1000543
cluster_408,reuse,22,groupA,i parve di comprendere,1000544___11_30,1000544
cluster_410,reuse,12,groupO1,l matrimonio,1000548___1_13,1000548
cluster_414,reuse,14,groupO1,e Vivere Viver,1000555___10_23,1000555
cluster_416,reuse,25,groupO1,l signor Paleari dovrebbe andare a,1000562___1_28,1000562
cluster_419,reuse,18,groupO1,ce dopo tanto tempo,1000569___28_44,1000569
cluster_421,reuse,17,groupO1,o sul tavolino de,1000571___27_42,1000571
cluster_425,reuse,44,groupB,via gioisci anche tu di tanto in tantoÈ colpa,1000578___15_48,1000578
cluster_427,reuse,19,groupB,o permesso di viver,1000579___31_48,1000579
cluster_432,reuse,74,groupO1,o sono morto sì e già due volte ma la prima per errore e la seconda sentiret,1000591___1_58,1000591
cluster_432,reuse,74,groupB,o sono morto sì già due volte ma la prima per errore e la seconda sentiret,1000665___1_57,1000665
cluster_436,reuse,48,groupO1, Scolastica vedrai hanno sbagliato all anagraf,1000601___31_67,1000601
cluster_438,reuse,80,groupO1,velandole che non ero io tornavo ad essere MORTO E ANCORA AMMOGLIAT,1000611___1_55,1000611
cluster_440,reuse,42,groupO1,a signorina Caporale è in contatto con Max roba da non,1000614___1_39,1000614
cluster_441,reuse,30,groupO1,rtà si era trasformata nuovame,1000616___8_34,1000616
cluster_442,reuse,32,groupA,eSullaBarchettaDellaFinzione,1000619___61_88,1000619
cluster_443,reuse,76,groupB,on possiamo comprendere la vita se in qualche modo non ci spieghiamo la mort,1000621___1_60,1000621
cluster_445,reuse,26,groupO1,ppa nel sentire Mattia Pasca,1000622___14_38,1000622
cluster_446,reuse,19,groupA,e lei poverettaE tu,1000623___11_28,1000623
cluster_447,reuse,30,groupO1, vecchia vedova Pescator,1000624___2_21,1000624
cluster_447,reuse,30,groupB,ndo vede la vedova Pescator,1000998___2_25,1000998
cluster_449,reuse,39,groupA, frastuono della vita non c è operazion,1000627___26_57,1000627
cluster_451,reuse,32,groupA,DesiderioDiEsserConfortat,1000631___13_38,1000631
cluster_452,reuse,15,groupA, suoi sorrisi d,1000632___8_21,1000632
cluster_456,reuse,19,groupO1,ta del morto alla S,1000645___8_24,1000645
